date,season,home_team,away_team,home_score,away_score
2015-10-27,2015-2016,Chicago Bulls,Cleveland Cavaliers,97,95
2015-10-27,2015-2016,Atlanta Hawks,Detroit Pistons,94,106
2015-10-27,2015-2016,Golden State Warriors,New Orleans Pelicans,111,95
2015-10-28,2015-2016,Los Angeles Lakers,Minnesota Timberwolves,111,112
2015-10-28,2015-2016,Sacramento Kings,Los Angeles Clippers,104,111
2015-10-28,2015-2016,Portland Trail Blazers,New Orleans Pelicans,112,94
2015-10-28,2015-2016,Phoenix Suns,Dallas Mavericks,95,111
2015-10-28,2015-2016,Memphis Grizzlies,Cleveland Cavaliers,76,106
2015-10-28,2015-2016,Oklahoma City Thunder,San Antonio Spurs,112,106
2015-10-28,2015-2016,Houston Rockets,Denver Nuggets,85,105
2015-10-28,2015-2016,Miami Heat,Charlotte Hornets,104,94
2015-10-28,2015-2016,Toronto Raptors,Indiana Pacers,106,99
2015-10-28,2015-2016,Detroit Pistons,Utah Jazz,92,87
2015-10-28,2015-2016,Brooklyn Nets,Chicago Bulls,100,115
2015-10-28,2015-2016,Boston Celtics,Philadelphia 76ers,112,95
2015-10-28,2015-2016,Orlando Magic,Washington Wizards,87,88
2015-10-28,2015-2016,Milwaukee Bucks,New York Knicks,97,122
2015-10-29,2015-2016,Indiana Pacers,Memphis Grizzlies,103,112
2015-10-29,2015-2016,New York Knicks,Atlanta Hawks,101,112
2015-10-29,2015-2016,Los Angeles Clippers,Dallas Mavericks,104,88
2015-10-30,2015-2016,San Antonio Spurs,Brooklyn Nets,102,75
2015-10-30,2015-2016,Phoenix Suns,Portland Trail Blazers,110,92
2015-10-30,2015-2016,Sacramento Kings,Los Angeles Lakers,132,114
2015-10-30,2015-2016,Houston Rockets,Golden State Warriors,92,112
2015-10-30,2015-2016,Denver Nuggets,Minnesota Timberwolves,78,95
2015-10-30,2015-2016,Milwaukee Bucks,Washington Wizards,113,118
2015-10-30,2015-2016,Cleveland Cavaliers,Miami Heat,102,92
2015-10-30,2015-2016,Detroit Pistons,Chicago Bulls,98,94
2015-10-30,2015-2016,Boston Celtics,Toronto Raptors,103,113
2015-10-30,2015-2016,Orlando Magic,Oklahoma City Thunder,136,139
2015-10-30,2015-2016,Philadelphia 76ers,Utah Jazz,71,99
2015-10-30,2015-2016,Atlanta Hawks,Charlotte Hornets,97,94
2015-10-31,2015-2016,Indiana Pacers,Utah Jazz,76,97
2015-10-31,2015-2016,Washington Wizards,New York Knicks,110,117
2015-10-31,2015-2016,New Orleans Pelicans,Golden State Warriors,120,134
2015-10-31,2015-2016,Memphis Grizzlies,Brooklyn Nets,101,91
2015-10-31,2015-2016,Portland Trail Blazers,Phoenix Suns,90,101
2015-10-31,2015-2016,Los Angeles Clippers,Sacramento Kings,114,109
2015-11-01,2015-2016,Chicago Bulls,Orlando Magic,92,87
2015-11-01,2015-2016,Los Angeles Lakers,Dallas Mavericks,93,103
2015-11-01,2015-2016,Toronto Raptors,Milwaukee Bucks,106,87
2015-11-01,2015-2016,Oklahoma City Thunder,Denver Nuggets,117,93
2015-11-01,2015-2016,Boston Celtics,San Antonio Spurs,87,95
2015-11-01,2015-2016,Charlotte Hornets,Atlanta Hawks,92,94
2015-11-01,2015-2016,Miami Heat,Houston Rockets,109,89
2015-11-02,2015-2016,Philadelphia 76ers,Cleveland Cavaliers,100,107
2015-11-02,2015-2016,Brooklyn Nets,Milwaukee Bucks,96,103
2015-11-02,2015-2016,New York Knicks,San Antonio Spurs,84,94
2015-11-02,2015-2016,Houston Rockets,Oklahoma City Thunder,110,105
2015-11-02,2015-2016,Minnesota Timberwolves,Portland Trail Blazers,101,106
2015-11-02,2015-2016,Golden State Warriors,Memphis Grizzlies,119,69
2015-11-02,2015-2016,Los Angeles Clippers,Phoenix Suns,102,96
2015-11-03,2015-2016,Los Angeles Lakers,Denver Nuggets,109,120
2015-11-03,2015-2016,Sacramento Kings,Memphis Grizzlies,89,103
2015-11-03,2015-2016,Dallas Mavericks,Toronto Raptors,91,102
2015-11-03,2015-2016,Detroit Pistons,Indiana Pacers,82,94
2015-11-03,2015-2016,Miami Heat,Atlanta Hawks,92,98
2015-11-03,2015-2016,New Orleans Pelicans,Orlando Magic,94,103
2015-11-03,2015-2016,Charlotte Hornets,Chicago Bulls,130,105
2015-11-04,2015-2016,Golden State Warriors,Los Angeles Clippers,112,108
2015-11-04,2015-2016,Oklahoma City Thunder,Toronto Raptors,98,103
2015-11-04,2015-2016,Utah Jazz,Portland Trail Blazers,92,108
2015-11-04,2015-2016,Phoenix Suns,Sacramento Kings,118,97
2015-11-04,2015-2016,Milwaukee Bucks,Philadelphia 76ers,91,87
2015-11-04,2015-2016,Cleveland Cavaliers,New York Knicks,96,86
2015-11-04,2015-2016,Atlanta Hawks,Brooklyn Nets,101,87
2015-11-04,2015-2016,Washington Wizards,San Antonio Spurs,102,99
2015-11-04,2015-2016,Indiana Pacers,Boston Celtics,100,98
2015-11-04,2015-2016,Houston Rockets,Orlando Magic,119,114
2015-11-05,2015-2016,Chicago Bulls,Oklahoma City Thunder,104,98
2015-11-05,2015-2016,Minnesota Timberwolves,Miami Heat,84,96
2015-11-05,2015-2016,Dallas Mavericks,Charlotte Hornets,94,108
2015-11-05,2015-2016,Denver Nuggets,Utah Jazz,84,96
2015-11-05,2015-2016,Portland Trail Blazers,Memphis Grizzlies,115,96
2015-11-06,2015-2016,Sacramento Kings,Houston Rockets,110,116
2015-11-06,2015-2016,Golden State Warriors,Denver Nuggets,119,104
2015-11-06,2015-2016,Phoenix Suns,Detroit Pistons,92,100
2015-11-06,2015-2016,New Orleans Pelicans,Atlanta Hawks,115,121
2015-11-06,2015-2016,Indiana Pacers,Miami Heat,90,87
2015-11-06,2015-2016,Boston Celtics,Washington Wizards,118,98
2015-11-06,2015-2016,Cleveland Cavaliers,Philadelphia 76ers,108,102
2015-11-06,2015-2016,Brooklyn Nets,Los Angeles Lakers,98,104
2015-11-06,2015-2016,Orlando Magic,Toronto Raptors,92,87
2015-11-06,2015-2016,New York Knicks,Milwaukee Bucks,92,99
2015-11-07,2015-2016,San Antonio Spurs,Charlotte Hornets,114,94
2015-11-07,2015-2016,Los Angeles Clippers,Houston Rockets,105,109
2015-11-07,2015-2016,Sacramento Kings,Golden State Warriors,94,103
2015-11-07,2015-2016,Milwaukee Bucks,Brooklyn Nets,94,86
2015-11-07,2015-2016,Utah Jazz,Memphis Grizzlies,89,79
2015-11-07,2015-2016,Atlanta Hawks,Washington Wizards,114,99
2015-11-07,2015-2016,Dallas Mavericks,New Orleans Pelicans,107,98
2015-11-07,2015-2016,Philadelphia 76ers,Orlando Magic,97,105
2015-11-07,2015-2016,Chicago Bulls,Minnesota Timberwolves,93,102
2015-11-08,2015-2016,Cleveland Cavaliers,Indiana Pacers,101,97
2015-11-08,2015-2016,New York Knicks,Los Angeles Lakers,99,95
2015-11-08,2015-2016,Miami Heat,Toronto Raptors,96,76
2015-11-08,2015-2016,Oklahoma City Thunder,Phoenix Suns,124,103
2015-11-08,2015-2016,Portland Trail Blazers,Detroit Pistons,103,120
2015-11-09,2015-2016,Los Angeles Clippers,Memphis Grizzlies,94,92
2015-11-09,2015-2016,Golden State Warriors,Detroit Pistons,109,95
2015-11-09,2015-2016,Sacramento Kings,San Antonio Spurs,88,106
2015-11-09,2015-2016,Indiana Pacers,Orlando Magic,97,84
2015-11-09,2015-2016,Atlanta Hawks,Minnesota Timberwolves,107,117
2015-11-09,2015-2016,Philadelphia 76ers,Chicago Bulls,88,111
2015-11-09,2015-2016,Denver Nuggets,Portland Trail Blazers,108,104
2015-11-10,2015-2016,Minnesota Timberwolves,Charlotte Hornets,95,104
2015-11-10,2015-2016,New Orleans Pelicans,Dallas Mavericks,120,105
2015-11-10,2015-2016,Toronto Raptors,New York Knicks,109,111
2015-11-10,2015-2016,Milwaukee Bucks,Boston Celtics,83,99
2015-11-10,2015-2016,Washington Wizards,Oklahoma City Thunder,101,125
2015-11-10,2015-2016,Cleveland Cavaliers,Utah Jazz,118,114
2015-11-10,2015-2016,Miami Heat,Los Angeles Lakers,101,88
2015-11-11,2015-2016,Memphis Grizzlies,Golden State Warriors,84,100
2015-11-11,2015-2016,Portland Trail Blazers,San Antonio Spurs,101,113
2015-11-11,2015-2016,Sacramento Kings,Detroit Pistons,101,92
2015-11-11,2015-2016,Denver Nuggets,Milwaukee Bucks,103,102
2015-11-11,2015-2016,Houston Rockets,Brooklyn Nets,98,106
2015-11-11,2015-2016,Dallas Mavericks,Los Angeles Clippers,118,108
2015-11-11,2015-2016,Atlanta Hawks,New Orleans Pelicans,106,98
2015-11-11,2015-2016,Boston Celtics,Indiana Pacers,91,102
2015-11-11,2015-2016,Philadelphia 76ers,Toronto Raptors,103,119
2015-11-11,2015-2016,Orlando Magic,Los Angeles Lakers,101,99
2015-11-11,2015-2016,Charlotte Hornets,New York Knicks,95,93
2015-11-12,2015-2016,Miami Heat,Utah Jazz,92,91
2015-11-12,2015-2016,Minnesota Timberwolves,Golden State Warriors,116,129
2015-11-12,2015-2016,Phoenix Suns,Los Angeles Clippers,118,104
2015-11-13,2015-2016,Oklahoma City Thunder,Philadelphia 76ers,102,85
2015-11-13,2015-2016,Memphis Grizzlies,Portland Trail Blazers,101,100
2015-11-13,2015-2016,Sacramento Kings,Brooklyn Nets,111,109
2015-11-13,2015-2016,Dallas Mavericks,Los Angeles Lakers,90,82
2015-11-13,2015-2016,Chicago Bulls,Charlotte Hornets,102,97
2015-11-13,2015-2016,Denver Nuggets,Houston Rockets,107,98
2015-11-13,2015-2016,New York Knicks,Cleveland Cavaliers,84,90
2015-11-13,2015-2016,Boston Celtics,Atlanta Hawks,106,93
2015-11-13,2015-2016,Orlando Magic,Utah Jazz,102,93
2015-11-13,2015-2016,Indiana Pacers,Minnesota Timberwolves,107,103
2015-11-13,2015-2016,Toronto Raptors,New Orleans Pelicans,100,81
2015-11-14,2015-2016,Golden State Warriors,Brooklyn Nets,107,99
2015-11-14,2015-2016,San Antonio Spurs,Philadelphia 76ers,92,83
2015-11-14,2015-2016,Milwaukee Bucks,Cleveland Cavaliers,108,105
2015-11-14,2015-2016,Phoenix Suns,Denver Nuggets,105,81
2015-11-14,2015-2016,Washington Wizards,Orlando Magic,108,99
2015-11-14,2015-2016,Los Angeles Clippers,Detroit Pistons,101,96
2015-11-14,2015-2016,Houston Rockets,Dallas Mavericks,98,110
2015-11-15,2015-2016,New York Knicks,New Orleans Pelicans,95,87
2015-11-15,2015-2016,Minnesota Timberwolves,Memphis Grizzlies,106,114
2015-11-15,2015-2016,Charlotte Hornets,Portland Trail Blazers,106,94
2015-11-15,2015-2016,Atlanta Hawks,Utah Jazz,96,97
2015-11-15,2015-2016,Oklahoma City Thunder,Boston Celtics,85,100
2015-11-15,2015-2016,Sacramento Kings,Toronto Raptors,107,101
2015-11-15,2015-2016,Los Angeles Lakers,Detroit Pistons,97,85
2015-11-16,2015-2016,San Antonio Spurs,Portland Trail Blazers,93,80
2015-11-16,2015-2016,Memphis Grizzlies,Oklahoma City Thunder,122,114
2015-11-16,2015-2016,Phoenix Suns,Los Angeles Lakers,120,101
2015-11-16,2015-2016,Chicago Bulls,Indiana Pacers,96,95
2015-11-16,2015-2016,Philadelphia 76ers,Dallas Mavericks,86,92
2015-11-16,2015-2016,Houston Rockets,Boston Celtics,95,111
2015-11-17,2015-2016,Washington Wizards,Milwaukee Bucks,115,86
2015-11-17,2015-2016,Brooklyn Nets,Atlanta Hawks,90,88
2015-11-17,2015-2016,Detroit Pistons,Cleveland Cavaliers,104,99
2015-11-17,2015-2016,Miami Heat,Minnesota Timberwolves,91,103
2015-11-17,2015-2016,New York Knicks,Charlotte Hornets,102,94
2015-11-17,2015-2016,New Orleans Pelicans,Denver Nuggets,98,115
2015-11-17,2015-2016,Golden State Warriors,Toronto Raptors,115,110
2015-11-18,2015-2016,Phoenix Suns,Chicago Bulls,97,103
2015-11-18,2015-2016,Utah Jazz,Toronto Raptors,93,89
2015-11-18,2015-2016,San Antonio Spurs,Denver Nuggets,109,98
2015-11-18,2015-2016,Oklahoma City Thunder,New Orleans Pelicans,110,103
2015-11-18,2015-2016,Houston Rockets,Portland Trail Blazers,108,103
2015-11-18,2015-2016,Boston Celtics,Dallas Mavericks,102,106
2015-11-18,2015-2016,Philadelphia 76ers,Indiana Pacers,85,112
2015-11-18,2015-2016,Orlando Magic,Minnesota Timberwolves,104,101
2015-11-18,2015-2016,Charlotte Hornets,Brooklyn Nets,116,111
2015-11-18,2015-2016,Atlanta Hawks,Sacramento Kings,103,97
2015-11-19,2015-2016,Miami Heat,Sacramento Kings,116,109
2015-11-19,2015-2016,Cleveland Cavaliers,Milwaukee Bucks,115,100
2015-11-19,2015-2016,Los Angeles Clippers,Golden State Warriors,117,124
2015-11-20,2015-2016,Denver Nuggets,Phoenix Suns,107,114
2015-11-20,2015-2016,Los Angeles Lakers,Toronto Raptors,91,102
2015-11-20,2015-2016,Golden State Warriors,Chicago Bulls,106,94
2015-11-20,2015-2016,Portland Trail Blazers,Los Angeles Clippers,102,91
2015-11-20,2015-2016,Dallas Mavericks,Utah Jazz,102,93
2015-11-20,2015-2016,Memphis Grizzlies,Houston Rockets,96,84
2015-11-20,2015-2016,New Orleans Pelicans,San Antonio Spurs,104,90
2015-11-20,2015-2016,Charlotte Hornets,Philadelphia 76ers,113,88
2015-11-20,2015-2016,Boston Celtics,Brooklyn Nets,120,95
2015-11-20,2015-2016,Oklahoma City Thunder,New York Knicks,90,93
2015-11-20,2015-2016,Minnesota Timberwolves,Detroit Pistons,86,96
2015-11-21,2015-2016,Orlando Magic,Sacramento Kings,91,97
2015-11-21,2015-2016,Indiana Pacers,Milwaukee Bucks,123,86
2015-11-21,2015-2016,Cleveland Cavaliers,Atlanta Hawks,109,97
2015-11-21,2015-2016,Detroit Pistons,Washington Wizards,95,97
2015-11-21,2015-2016,Houston Rockets,New York Knicks,102,107
2015-11-21,2015-2016,Miami Heat,Philadelphia 76ers,96,91
2015-11-21,2015-2016,San Antonio Spurs,Memphis Grizzlies,92,82
2015-11-22,2015-2016,Los Angeles Lakers,Portland Trail Blazers,93,107
2015-11-22,2015-2016,Denver Nuggets,Golden State Warriors,105,118
2015-11-22,2015-2016,Oklahoma City Thunder,Dallas Mavericks,117,114
2015-11-22,2015-2016,Brooklyn Nets,Boston Celtics,111,101
2015-11-22,2015-2016,Los Angeles Clippers,Toronto Raptors,80,91
2015-11-22,2015-2016,New Orleans Pelicans,Phoenix Suns,122,116
2015-11-23,2015-2016,Charlotte Hornets,Sacramento Kings,127,122
2015-11-23,2015-2016,Cleveland Cavaliers,Orlando Magic,117,103
2015-11-23,2015-2016,Miami Heat,New York Knicks,95,78
2015-11-23,2015-2016,Milwaukee Bucks,Detroit Pistons,109,88
2015-11-23,2015-2016,Minnesota Timberwolves,Philadelphia 76ers,100,95
2015-11-23,2015-2016,San Antonio Spurs,Phoenix Suns,98,84
2015-11-23,2015-2016,Utah Jazz,Oklahoma City Thunder,89,111
2015-11-24,2015-2016,Portland Trail Blazers,Chicago Bulls,88,93
2015-11-24,2015-2016,Golden State Warriors,Los Angeles Lakers,111,77
2015-11-24,2015-2016,Denver Nuggets,Los Angeles Clippers,94,111
2015-11-24,2015-2016,Atlanta Hawks,Boston Celtics,121,97
2015-11-24,2015-2016,Washington Wizards,Indiana Pacers,106,123
2015-11-24,2015-2016,Memphis Grizzlies,Dallas Mavericks,110,96
2015-11-25,2015-2016,Minnesota Timberwolves,Atlanta Hawks,99,95
2015-11-25,2015-2016,Charlotte Hornets,Washington Wizards,101,87
2015-11-25,2015-2016,Orlando Magic,New York Knicks,100,91
2015-11-25,2015-2016,Boston Celtics,Philadelphia 76ers,84,80
2015-11-25,2015-2016,Detroit Pistons,Miami Heat,104,81
2015-11-25,2015-2016,Toronto Raptors,Cleveland Cavaliers,103,99
2015-11-25,2015-2016,Houston Rockets,Memphis Grizzlies,93,102
2015-11-25,2015-2016,Milwaukee Bucks,Sacramento Kings,118,129
2015-11-25,2015-2016,Oklahoma City Thunder,Brooklyn Nets,110,99
2015-11-25,2015-2016,San Antonio Spurs,Dallas Mavericks,88,83
2015-11-25,2015-2016,Phoenix Suns,New Orleans Pelicans,114,120
2015-11-25,2015-2016,Los Angeles Clippers,Utah Jazz,91,102
2015-11-27,2015-2016,Denver Nuggets,San Antonio Spurs,80,91
2015-11-27,2015-2016,Phoenix Suns,Golden State Warriors,116,135
2015-11-27,2015-2016,Oklahoma City Thunder,Detroit Pistons,103,87
2015-11-27,2015-2016,Los Angeles Clippers,New Orleans Pelicans,111,90
2015-11-27,2015-2016,Sacramento Kings,Minnesota Timberwolves,91,101
2015-11-27,2015-2016,Memphis Grizzlies,Atlanta Hawks,101,116
2015-11-27,2015-2016,Boston Celtics,Washington Wizards,111,78
2015-11-27,2015-2016,Houston Rockets,Philadelphia 76ers,116,114
2015-11-27,2015-2016,Indiana Pacers,Chicago Bulls,104,92
2015-11-27,2015-2016,Orlando Magic,Milwaukee Bucks,114,90
2015-11-27,2015-2016,Charlotte Hornets,Cleveland Cavaliers,90,95
2015-11-27,2015-2016,New York Knicks,Miami Heat,78,97
2015-11-28,2015-2016,Washington Wizards,Toronto Raptors,82,84
2015-11-28,2015-2016,Cleveland Cavaliers,Brooklyn Nets,90,88
2015-11-28,2015-2016,Dallas Mavericks,Denver Nuggets,92,81
2015-11-28,2015-2016,San Antonio Spurs,Atlanta Hawks,108,88
2015-11-28,2015-2016,Utah Jazz,New Orleans Pelicans,101,87
2015-11-28,2015-2016,Portland Trail Blazers,Los Angeles Lakers,108,96
2015-11-28,2015-2016,Golden State Warriors,Sacramento Kings,120,101
2015-11-29,2015-2016,New York Knicks,Houston Rockets,111,116
2015-11-29,2015-2016,Los Angeles Lakers,Indiana Pacers,103,107
2015-11-29,2015-2016,Toronto Raptors,Phoenix Suns,102,107
2015-11-29,2015-2016,Orlando Magic,Boston Celtics,110,91
2015-11-29,2015-2016,Los Angeles Clippers,Minnesota Timberwolves,107,99
2015-11-29,2015-2016,Brooklyn Nets,Detroit Pistons,87,83
2015-11-29,2015-2016,Charlotte Hornets,Milwaukee Bucks,87,82
2015-11-29,2015-2016,Memphis Grizzlies,Philadelphia 76ers,92,84
2015-11-30,2015-2016,Utah Jazz,Golden State Warriors,103,106
2015-11-30,2015-2016,Los Angeles Clippers,Portland Trail Blazers,102,87
2015-11-30,2015-2016,Sacramento Kings,Dallas Mavericks,112,98
2015-11-30,2015-2016,Milwaukee Bucks,Denver Nuggets,92,74
2015-11-30,2015-2016,Detroit Pistons,Houston Rockets,116,105
2015-11-30,2015-2016,Atlanta Hawks,Oklahoma City Thunder,106,100
2015-11-30,2015-2016,Miami Heat,Boston Celtics,95,105
2015-11-30,2015-2016,Chicago Bulls,San Antonio Spurs,92,89
2015-12-01,2015-2016,Cleveland Cavaliers,Washington Wizards,85,97
2015-12-01,2015-2016,Philadelphia 76ers,Los Angeles Lakers,103,91
2015-12-01,2015-2016,Brooklyn Nets,Phoenix Suns,94,91
2015-12-01,2015-2016,Minnesota Timberwolves,Orlando Magic,93,96
2015-12-01,2015-2016,New Orleans Pelicans,Memphis Grizzlies,104,113
2015-12-01,2015-2016,Portland Trail Blazers,Dallas Mavericks,112,115
2015-12-02,2015-2016,Los Angeles Clippers,Indiana Pacers,91,103
2015-12-02,2015-2016,San Antonio Spurs,Milwaukee Bucks,95,70
2015-12-02,2015-2016,Houston Rockets,New Orleans Pelicans,108,101
2015-12-02,2015-2016,Chicago Bulls,Denver Nuggets,99,90
2015-12-02,2015-2016,Atlanta Hawks,Toronto Raptors,86,96
2015-12-02,2015-2016,Detroit Pistons,Phoenix Suns,127,122
2015-12-02,2015-2016,Charlotte Hornets,Golden State Warriors,99,116
2015-12-02,2015-2016,New York Knicks,Philadelphia 76ers,99,87
2015-12-02,2015-2016,Washington Wizards,Los Angeles Lakers,104,108
2015-12-03,2015-2016,Miami Heat,Oklahoma City Thunder,97,95
2015-12-03,2015-2016,Toronto Raptors,Denver Nuggets,105,106
2015-12-03,2015-2016,Utah Jazz,Orlando Magic,94,103
2015-12-03,2015-2016,Memphis Grizzlies,San Antonio Spurs,83,103
2015-12-03,2015-2016,Portland Trail Blazers,Indiana Pacers,123,111
2015-12-03,2015-2016,Sacramento Kings,Boston Celtics,97,114
2015-12-04,2015-2016,Washington Wizards,Phoenix Suns,109,106
2015-12-04,2015-2016,New York Knicks,Brooklyn Nets,108,91
2015-12-04,2015-2016,Detroit Pistons,Milwaukee Bucks,102,95
2015-12-04,2015-2016,Atlanta Hawks,Los Angeles Lakers,100,87
2015-12-04,2015-2016,Dallas Mavericks,Houston Rockets,96,100
2015-12-04,2015-2016,New Orleans Pelicans,Cleveland Cavaliers,114,108
2015-12-05,2015-2016,San Antonio Spurs,Boston Celtics,108,105
2015-12-05,2015-2016,Milwaukee Bucks,New York Knicks,106,91
2015-12-05,2015-2016,Los Angeles Clippers,Orlando Magic,103,101
2015-12-05,2015-2016,Utah Jazz,Indiana Pacers,122,119
2015-12-05,2015-2016,Minnesota Timberwolves,Portland Trail Blazers,103,109
2015-12-05,2015-2016,Miami Heat,Cleveland Cavaliers,99,84
2015-12-05,2015-2016,Houston Rockets,Sacramento Kings,120,113
2015-12-05,2015-2016,Chicago Bulls,Charlotte Hornets,96,102
2015-12-05,2015-2016,Toronto Raptors,Golden State Warriors,109,112
2015-12-05,2015-2016,Philadelphia 76ers,Denver Nuggets,105,108
2015-12-06,2015-2016,Memphis Grizzlies,Phoenix Suns,95,93
2015-12-06,2015-2016,Brooklyn Nets,Golden State Warriors,98,114
2015-12-06,2015-2016,Detroit Pistons,Los Angeles Lakers,111,91
2015-12-06,2015-2016,Washington Wizards,Dallas Mavericks,104,116
2015-12-06,2015-2016,Oklahoma City Thunder,Sacramento Kings,98,95
2015-12-07,2015-2016,New Orleans Pelicans,Boston Celtics,93,111
2015-12-07,2015-2016,Minnesota Timberwolves,Los Angeles Clippers,106,110
2015-12-07,2015-2016,Milwaukee Bucks,Portland Trail Blazers,90,88
2015-12-07,2015-2016,Chicago Bulls,Phoenix Suns,101,103
2015-12-07,2015-2016,Charlotte Hornets,Detroit Pistons,104,84
2015-12-07,2015-2016,New York Knicks,Dallas Mavericks,97,104
2015-12-07,2015-2016,Miami Heat,Washington Wizards,103,114
2015-12-07,2015-2016,Philadelphia 76ers,San Antonio Spurs,68,119
2015-12-07,2015-2016,Toronto Raptors,Los Angeles Lakers,102,93
2015-12-08,2015-2016,Denver Nuggets,Orlando Magic,74,85
2015-12-08,2015-2016,Sacramento Kings,Utah Jazz,114,106
2015-12-08,2015-2016,Memphis Grizzlies,Oklahoma City Thunder,88,125
2015-12-08,2015-2016,Indiana Pacers,Golden State Warriors,123,131
2015-12-08,2015-2016,Brooklyn Nets,Houston Rockets,110,105
2015-12-08,2015-2016,Cleveland Cavaliers,Portland Trail Blazers,105,100
2015-12-09,2015-2016,Utah Jazz,New York Knicks,106,85
2015-12-09,2015-2016,Dallas Mavericks,Atlanta Hawks,95,98
2015-12-09,2015-2016,Minnesota Timberwolves,Los Angeles Lakers,123,122
2015-12-09,2015-2016,Milwaukee Bucks,Los Angeles Clippers,95,109
2015-12-09,2015-2016,Phoenix Suns,Orlando Magic,107,104
2015-12-09,2015-2016,Detroit Pistons,Memphis Grizzlies,92,93
2015-12-09,2015-2016,Washington Wizards,Houston Rockets,103,109
2015-12-09,2015-2016,Charlotte Hornets,Miami Heat,99,81
2015-12-09,2015-2016,Boston Celtics,Chicago Bulls,105,100
2015-12-09,2015-2016,Toronto Raptors,San Antonio Spurs,97,94
2015-12-10,2015-2016,Brooklyn Nets,Philadelphia 76ers,100,91
2015-12-10,2015-2016,Chicago Bulls,Los Angeles Clippers,83,80
2015-12-10,2015-2016,Oklahoma City Thunder,Atlanta Hawks,107,94
2015-12-10,2015-2016,Sacramento Kings,New York Knicks,99,97
2015-12-11,2015-2016,New Orleans Pelicans,Washington Wizards,107,105
2015-12-11,2015-2016,Phoenix Suns,Portland Trail Blazers,96,106
2015-12-11,2015-2016,Utah Jazz,Oklahoma City Thunder,90,94
2015-12-11,2015-2016,Denver Nuggets,Minnesota Timberwolves,111,108
2015-12-11,2015-2016,San Antonio Spurs,Los Angeles Lakers,109,87
2015-12-11,2015-2016,Memphis Grizzlies,Charlotte Hornets,99,123
2015-12-11,2015-2016,Boston Celtics,Golden State Warriors,119,124
2015-12-11,2015-2016,Philadelphia 76ers,Detroit Pistons,95,107
2015-12-11,2015-2016,Orlando Magic,Cleveland Cavaliers,76,111
2015-12-11,2015-2016,Indiana Pacers,Miami Heat,96,83
2015-12-11,2015-2016,Toronto Raptors,Milwaukee Bucks,90,83
2015-12-12,2015-2016,Portland Trail Blazers,New York Knicks,110,112
2015-12-12,2015-2016,Milwaukee Bucks,Golden State Warriors,108,95
2015-12-12,2015-2016,Dallas Mavericks,Washington Wizards,111,114
2015-12-12,2015-2016,Chicago Bulls,New Orleans Pelicans,98,94
2015-12-12,2015-2016,Houston Rockets,Los Angeles Lakers,126,97
2015-12-12,2015-2016,Detroit Pistons,Indiana Pacers,118,96
2015-12-12,2015-2016,Charlotte Hornets,Boston Celtics,93,98
2015-12-12,2015-2016,Brooklyn Nets,Los Angeles Clippers,100,105
2015-12-12,2015-2016,Atlanta Hawks,San Antonio Spurs,78,103
2015-12-13,2015-2016,Phoenix Suns,Minnesota Timberwolves,108,101
2015-12-13,2015-2016,Miami Heat,Memphis Grizzlies,100,97
2015-12-13,2015-2016,Toronto Raptors,Philadelphia 76ers,96,76
2015-12-13,2015-2016,Oklahoma City Thunder,Utah Jazz,104,98
2015-12-14,2015-2016,Dallas Mavericks,Phoenix Suns,104,94
2015-12-14,2015-2016,Portland Trail Blazers,New Orleans Pelicans,105,101
2015-12-14,2015-2016,San Antonio Spurs,Utah Jazz,118,81
2015-12-14,2015-2016,Memphis Grizzlies,Washington Wizards,112,95
2015-12-14,2015-2016,Denver Nuggets,Houston Rockets,114,108
2015-12-14,2015-2016,Atlanta Hawks,Miami Heat,88,100
2015-12-14,2015-2016,Detroit Pistons,Los Angeles Clippers,103,105
2015-12-14,2015-2016,Brooklyn Nets,Orlando Magic,82,105
2015-12-14,2015-2016,Chicago Bulls,Philadelphia 76ers,115,96
2015-12-14,2015-2016,Indiana Pacers,Toronto Raptors,106,90
2015-12-15,2015-2016,Boston Celtics,Cleveland Cavaliers,77,89
2015-12-15,2015-2016,Minnesota Timberwolves,Denver Nuggets,100,112
2015-12-15,2015-2016,Sacramento Kings,Houston Rockets,107,97
2015-12-15,2015-2016,Los Angeles Lakers,Milwaukee Bucks,113,95
2015-12-16,2015-2016,Golden State Warriors,Phoenix Suns,128,103
2015-12-16,2015-2016,Utah Jazz,New Orleans Pelicans,94,104
2015-12-16,2015-2016,San Antonio Spurs,Washington Wizards,114,95
2015-12-16,2015-2016,Oklahoma City Thunder,Portland Trail Blazers,106,90
2015-12-16,2015-2016,Chicago Bulls,Memphis Grizzlies,98,85
2015-12-16,2015-2016,Orlando Magic,Charlotte Hornets,113,98
2015-12-16,2015-2016,New York Knicks,Minnesota Timberwolves,107,102
2015-12-16,2015-2016,Detroit Pistons,Boston Celtics,119,116
2015-12-16,2015-2016,Brooklyn Nets,Miami Heat,98,104
2015-12-16,2015-2016,Los Angeles Clippers,Milwaukee Bucks,103,90
2015-12-16,2015-2016,Indiana Pacers,Dallas Mavericks,107,81
2015-12-16,2015-2016,Atlanta Hawks,Philadelphia 76ers,127,106
2015-12-17,2015-2016,Los Angeles Lakers,Houston Rockets,87,107
2015-12-17,2015-2016,Charlotte Hornets,Toronto Raptors,109,99
2015-12-17,2015-2016,Cleveland Cavaliers,Oklahoma City Thunder,104,100
